Nuclide,C m2 / kg MBq s,f-factor (cGy/R),HVL,QVL,TVL,CVL,MVL,R/s at 1m
Pr-134,3.40E-12,0.963,6.12,13.3,24.8,61.7,106,1.318E-08
Pr-136,2.27E-12,0.961,7.31,15.4,29.7,76.7,126,8.798E-09
Pr-137,4.57E-13,0.945,4.3,9.85,18.2,51.4,95.3,1.771E-09
Pr-139,2.10E-13,0.931,1.28,6.37,14.2,47.5,91.8,8.140E-10
Pr-146,1.00E-12,0.965,11,24.4,42.9,90,137,3.876E-09
Pr-147,5.86E-13,0.943,4.51,12.8,26.3,65.6,107,2.271E-09
Nd-135,1.44E-12,0.955,3.92,8.84,15.9,42.9,85.5,5.581E-09
Nd-136,3.98E-13,0.938,1.02,6.28,14.8,40.9,73,1.543E-09
Nd-138,1.16E-13,0.926,0.0468,0.104,0.697,6.69,13.5,4.496E-10
Nd-139,5.34E-13,0.947,4.73,10.6,19.8,52.2,90,2.070E-09
Nd-147,1.80E-13,0.943,1.48,5.77,11.9,27.3,43,6.977E-10
Nd-149,4.11E-13,0.956,1.7,4.93,11.6,31.4,54.6,1.593E-09
Nd-151,8.86E-13,0.959,7.92,18.9,33.4,71.1,110,3.434E-09
Nd-152,2.13E-13,0.957,1.04,2.52,4.98,18.6,35.5,8.256E-10
Pm-141,8.18E-13,0.955,5.87,12.4,23.3,64.4,109,3.171E-09
Pm-143,4.03E-13,0.938,5.69,13.5,23,45.9,68,1.562E-09
Pm-144,1.78E-12,0.955,6.34,12.6,20.6,40.5,60.2,6.899E-09
Pm-145,9.23E-14,0.925,0.0418,0.0813,0.136,0.321,0.85,3.578E-10
Pm-148,5.83E-13,0.965,12.1,24.5,41.4,84.2,126,2.260E-09
Pm-150,1.49E-12,0.965,10.5,23.4,40.1,82.9,127,5.775E-09
Pm-151,3.68E-13,0.955,2.3,6.18,13.7,36.4,60,1.426E-09
Sm-140,6.43E-13,0.948,5.59,14,28.2,68.9,110,2.492E-09
Sm-141,1.52E-12,0.959,6.16,13.5,27.7,72.5,118,5.891E-09
Sm-142,1.69E-13,0.932,1.08,5.66,12.2,31.9,65.7,6.550E-10
Sm-145,1.62E-13,0.926,0.0475,0.0933,0.158,0.385,0.78,6.279E-10
Sm-155,1.05E-13,0.953,0.232,0.5,1.13,16.4,53.5,4.070E-10
Sm-156,1.30E-13,0.953,0.477,1.11,2.07,5.23,9.21,5.039E-10
Eu-145,1.33E-12,0.95,11.4,23.3,39.4,83.9,130,5.155E-09
Eu-146,2.54E-12,0.957,9.31,18.8,32.6,74.3,120,9.845E-09
Eu-147,5.50E-13,0.944,4.85,14.1,26.5,58.6,92,2.132E-09
Eu-149,1.21E-13,0.93,0.0844,0.546,3.08,12.7,26.2,4.690E-10
Eu-150,1.73E-12,0.957,4.68,10.6,20.7,53.9,91.7,6.705E-09
Eu-152,1.25E-12,0.952,9.52,21.5,36.7,75.1,114,4.845E-09
Eu-154,1.30E-12,0.959,11.2,22.5,37.1,74.3,112,5.039E-09
Eu-155,6.80E-14,0.947,0.162,0.396,0.764,1.75,2.87,2.636E-10
Eu-157,3.49E-13,0.944,2.53,6.34,12.1,30.3,52.5,1.353E-09
Eu-158,1.33E-12,0.959,12.4,23.9,38.9,78.5,121,5.155E-09
Eu-159,3.69E-13,0.94,3.77,12.5,24.5,57.9,95,1.430E-09
Gd-146,3.36E-13,0.941,0.128,0.328,0.692,1.79,6.12,1.302E-09
Gd-149,6.16E-13,0.948,2.23,6.84,16,41.3,67.1,2.388E-09
Gd-151,1.24E-13,0.932,0.0839,0.257,1.09,4.54,9.27,4.806E-10
Tb-150,2.35E-12,0.957,11.2,24.3,43.8,95.8,147,9.109E-09
Tb-155,2.26E-13,0.942,0.178,0.623,1.73,8.31,19,8.760E-10
Tb-156,2.04E-12,0.954,8.96,20.7,36.8,77.5,118,7.907E-09
Tb-160,1.18E-12,0.96,10.5,21.6,35.5,69.8,104,4.574E-09
Tb-161,1.11E-13,0.93,0.0283,0.0707,0.187,0.857,8.15,4.302E-10
Tb-163,8.72E-13,0.963,3.48,7.21,12.6,28,46,3.380E-09
Dy-151,1.45E-12,0.953,8.84,20,35.7,77.4,120,5.620E-09
Dy-152,3.32E-13,0.949,0.792,1.83,3.16,6.46,9.73,1.287E-09
Dy-153,9.68E-13,0.945,5.36,15.6,31.3,72.4,114,3.752E-09
Dy-166,6.09E-14,0.936,0.105,0.255,0.823,8.9,18.3,2.360E-10
Ho-154,2.02E-12,0.962,5.78,12.9,25.2,64.8,108,7.829E-09
Ho-157,6.69E-13,0.946,2.6,8.13,19.3,53.1,89.8,2.593E-09
Ho-158,6.69E-13,0.946,2.6,8.13,19.3,53.1,89.8,2.593E-09
Ho-160,1.84E-12,0.954,8.79,17.7,29.3,58.5,88.3,7.132E-09
Ho-162,2.00E-13,0.936,3.18,12.3,28.1,69.7,110,7.752E-10
Ho-164,4.88E-14,0.931,0.0764,0.151,0.257,0.631,1.25,1.891E-10
Ho-167,4.02E-13,0.959,1.99,4.13,7.03,15.1,26.2,1.558E-09
Er-156,1.25E-13,0.93,0.0653,0.156,0.452,6.69,14.7,4.845E-10
Er-158,1.25E-13,0.93,0.0653,0.156,0.452,6.69,14.7,4.845E-10
Er-159,1.03E-12,0.952,7.57,16.8,31,74.1,120,3.992E-09
Er-160,1.03E-12,0.952,7.57,16.8,31,74.1,120,3.992E-09
Er-163,6.52E-14,0.931,0.0795,0.157,0.266,3.78,38.2,2.527E-10
Er-165,6.19E-14,0.931,0.0776,0.151,0.25,0.508,0.788,2.399E-10
Er-171,4.03E-13,0.956,1.42,3.28,5.99,21.6,48,1.562E-09
Er-172,5.80E-13,0.952,4.14,8.95,15.5,32.9,50.3,2.248E-09
Tm-163,1.36E-12,0.948,10.5,24.1,41.6,84.5,127,5.271E-09
Tm-165,6.29E-13,0.948,2.81,8.65,19.8,52.4,87.9,2.438E-09
Tm-166,1.96E-12,0.954,12.5,25.9,44,91.2,139,7.597E-09
Tm-167,1.75E-13,0.942,0.32,1.04,2.23,12.1,26.8,6.783E-10
Tm-168,1.35E-12,0.955,6.38,14.5,24.9,51.2,78.5,5.233E-09
Tm-172,4.64E-13,0.958,15.6,29.8,47.7,90.9,133,1.798E-09
Tm-173,4.31E-13,0.962,3.13,6.1,9.9,19.4,28.8,1.671E-09
Tm-175,1.17E-12,0.962,7.47,15.8,27.9,61.6,97.6,4.535E-09
Yb-162,2.74E-13,0.948,0.65,3.54,11.4,31.2,51.6,1.062E-09
Yb-163,7.72E-13,0.951,7.34,16.6,31.3,73.9,118,2.992E-09
Yb-164,7.25E-14,0.934,0.13,0.328,3.85,23.6,47.3,2.810E-10
Yb-166,1.15E-13,0.935,0.102,0.206,0.362,1.01,1.97,4.457E-10
Yb-167,2.95E-13,0.944,0.194,0.468,1.32,30.5,68.4,1.143E-09
Yb-175,4.27E-14,0.957,2.03,4.57,8.04,16.9,25.8,1.655E-10
Lu-167,1.69E-12,0.952,11.6,26.3,45.5,93.2,140,6.550E-09
Lu-173,2.15E-13,0.941,0.262,1.09,3.2,16.4,34.8,8.333E-10
Lu-174,1.30E-13,0.937,2.81,15.4,32.7,72.5,110,5.039E-10
Lu-176,5.05E-13,0.96,1.16,2.54,4.58,9.97,15.4,1.957E-09
Lu-177,3.52E-14,0.957,0.542,1.19,2.11,4.7,8.46,1.364E-10
Lu-179,3.00E-14,0.962,0.907,1.82,3.5,27.7,57.1,1.163E-10
Hf-170,4.83E-13,0.95,2.58,7.91,15.1,32.9,50.9,1.872E-09
Hf-172,1.83E-13,0.938,0.0552,0.178,0.368,0.977,1.75,7.093E-10
Hf-173,4.15E-13,0.952,0.639,2.35,6.03,32.9,64.7,1.609E-09
Hf-175,3.94E-13,0.95,1.62,3.73,6.43,13.2,20.1,1.527E-09
Hf-178,2.44E-12,0.959,1.5,3.5,7.12,21.7,39.4,9.457E-09
Hf-180,9.92E-13,0.957,1.79,4.52,8.53,19,29.7,3.845E-09
Hf-181,5.78E-13,0.96,3.22,7.13,12.2,24.7,37,2.240E-09
Hf-182,2.53E-13,0.961,1.13,2.29,3.8,7.55,11.3,9.806E-10
Hf-183,8.36E-13,0.957,7.31,15.2,25.9,54.1,86.9,3.240E-09
Ta-172,1.75E-12,0.958,8.76,20,35.7,76.5,118,6.783E-09
Ta-173,6.06E-13,0.948,6.56,17,32.9,76.3,121,2.349E-09
Ta-174,9.98E-13,0.956,6.54,16.7,33.4,79.3,127,3.868E-09
Ta-175,1.12E-12,0.951,9.53,23.4,41.3,85.8,130,4.341E-09
Ta-176,2.13E-12,0.955,15.3,30,48.9,95.9,143,8.256E-09
Ta-177,7.72E-14,0.94,0.165,0.374,1.98,30.9,62.3,2.992E-10
Ta-179,2.98E-14,0.937,0.118,0.232,0.384,0.783,1.22,1.155E-10
Ta-180,5.60E-14,0.939,0.125,0.245,0.408,0.871,1.32,2.171E-10
Ta-183,3.09E-13,0.952,0.663,1.78,3.68,9.67,16.5,1.198E-09
Ta-184,1.68E-12,0.962,5.06,12.6,24.2,54.4,84.9,6.512E-09
Ta-185,1.55E-13,0.954,0.56,1.35,4.45,28.4,58.2,6.008E-10
Ta-186,1.52E-12,0.963,4.85,11.6,21,47.5,79.2,5.891E-09
W-177,9.68E-13,0.953,4.86,13.3,26.3,60.2,94.1,3.752E-09
W-178,1.72E-14,0.939,0.128,0.252,0.417,0.85,1.32,6.667E-11
W-181,4.58E-14,0.939,0.128,0.252,0.417,0.853,1.33,1.775E-10
W-187,4.89E-13,0.958,5.79,11.9,19.8,40.3,61.1,1.895E-09
Re-178,1.62E-12,0.958,9.56,22.7,42.3,94.5,147,6.279E-09
Re-179,1.12E-12,0.957,5.64,15,32.3,78.4,124,4.341E-09
Re-181,8.63E-13,0.954,4.26,10.7,22.6,56.2,92.2,3.345E-09
Re-182,1.83E-12,0.955,7.5,20.9,37.1,75.7,113,7.093E-09
Re-184,9.51E-13,0.954,9.13,18.3,29.7,57.3,84.5,3.686E-09
Re-186,1.99E-14,0.952,0.268,0.53,0.918,9.97,32.9,7.713E-11
Re-188,6.11E-14,0.96,2.54,9.98,21.7,56.6,96.9,2.368E-10
Os-167,9.22E-13,0.965,11.9,26.5,44.2,86.3,127,3.574E-09
Os-182,4.66E-13,0.954,2.46,6.78,12.5,26.5,40.1,1.806E-09
Os-183,6.69E-13,0.953,2.55,6.36,13.8,46.6,83,2.593E-09
Os-185,7.55E-13,0.955,6.89,13.7,22.4,44.5,67.7,2.926E-09
Os-189,7.55E-13,0.955,6.89,13.7,22.4,44.5,67.7,2.926E-09
Os-191,7.82E-14,0.95,0.227,0.438,0.715,1.44,2.19,3.031E-10
Os-194,5.24E-14,0.927,0.0582,0.112,0.184,0.382,0.706,2.031E-10
Ir-183,1.18E-12,0.955,8.93,21.9,40.2,87.7,135,4.574E-09
Ir-184,2.01E-12,0.96,7.64,18.5,34.5,77.6,123,7.791E-09
Ir-186,1.69E-12,0.959,7,17.6,34.1,80.1,128,6.550E-09
Ir-187,3.52E-13,0.95,4.85,12.7,24,53.9,83.8,1.364E-09
Ir-188,1.95E-12,0.958,14.9,30.7,51.2,102,151,7.558E-09
Ir-190,1.61E-12,0.96,4.26,9.43,16.7,38,65.3,6.240E-09
Ir-193,5.90E-14,0.946,0.221,0.447,0.776,1.75,2.8,2.287E-10
Ir-195,5.73E-14,0.948,0.211,0.43,0.775,2.33,4.55,2.221E-10
Pt-188,2.09E-13,0.951,0.617,1.78,4.94,14.8,25.1,8.101E-10
Pt-189,5.11E-13,0.952,4.06,11.1,21.5,53.5,92.8,1.981E-09
Pt-193,3.12E-13,0.95,1.56,5.2,10.6,25.2,40.3,1.209E-09
Pt-195,1.04E-14,0.945,0.188,0.373,0.62,1.27,1.99,4.031E-11
Pt-197,2.23E-14,0.952,0.355,0.732,1.32,3.28,5.95,8.643E-11
Au-186,1.58E-12,0.962,5.69,13.2,25.8,66.8,112,6.124E-09
Au-190,2.18E-12,0.96,12,28.5,50,103,155,8.450E-09
Au-192,1.83E-12,0.959,12.2,28.2,48.8,99.3,149,7.093E-09
Au-198,4.46E-13,0.965,3.35,6.47,10.5,21.2,35.9,1.729E-09
Au-200,2.80E-13,0.965,9.66,22.8,39.5,79.6,118,1.085E-09
Hg-191,1.91E-13,0.954,0.323,0.644,1.16,9.36,27.9,7.403E-10
Hg-192,2.79E-13,0.954,0.722,1.84,3.52,8.05,13.9,1.081E-09
Hg-193,8.43E-13,0.956,8.92,21.1,37.4,80.3,125,3.267E-09
Hg-194,1.06E-12,0.958,7.99,18.8,34.5,76,118,4.109E-09
Hg-195,2.04E-13,0.95,4.25,13,24.8,55.4,87.6,7.907E-10
Hg-197,6.76E-14,0.947,0.216,0.431,0.727,1.59,2.88,2.620E-10
Hg-199,8.94E-14,0.955,0.359,0.746,1.6,5.57,9.65,3.465E-10
Tl-194,1.00E-12,0.961,4.71,9.58,16.5,38.9,68.5,3.876E-09
Tl-196,1.86E-12,0.961,9.55,22.8,42,90.5,138,7.209E-09
Pb-194,1.10E-12,0.958,8.39,20.2,36.8,80.3,124,4.264E-09
Pb-195,1.10E-12,0.958,8.39,20.2,36.8,80.3,124,4.264E-09
Pb-196,5.19E-13,0.957,2.37,6.61,13.8,36.4,63.7,2.012E-09
Pb-198,4.58E-13,0.957,1.87,4.95,11.5,35.9,61.8,1.775E-09
Pb-199,1.05E-12,0.959,8.66,21.4,38.8,83.3,128,4.070E-09
Pb-200,2.01E-13,0.954,0.49,1.21,3.33,14.7,28.8,7.791E-10
Pb-201,7.98E-13,0.959,4.26,11.2,23.9,57.1,91.5,3.093E-09
Pb-202,4.00E-13,0.96,6.35,12.5,20.1,38.7,56.8,1.550E-09
Pb-204,3.24E-13,0.957,1.08,2.45,4.4,11.6,28.2,1.256E-09
Pb-210,1.79E-14,0.926,0.00875,0.0211,0.073,0.288,0.504,6.938E-11
Pb-212,1.53E-13,0.958,0.756,1.64,2.88,6.37,11.1,5.930E-10
Pb-214,2.78E-13,0.961,1.88,4.09,7.48,23.1,47.6,1.078E-09
Bi-201,1.73E-12,0.96,12.8,25.5,42.2,85.5,130,6.705E-09
Bi-202,2.90E-12,0.962,8.41,17.9,31.3,67.9,109,1.124E-08
Bi-205,1.66E-12,0.96,13.1,26.6,44.7,91.2,137,6.434E-09
Bi-206,3.41E-12,0.962,9.35,19.5,33.7,73.6,117,1.322E-08
Bi-210,2.15E-12,0.959,21.4,39.5,62.5,117,170,8.333E-09
Bi-213,1.41E-13,0.963,3.75,7.42,12.4,29.4,59.6,5.465E-10
Bi-214,1.45E-12,0.965,13.4,26.9,45.1,91.8,138,5.620E-09
Po-204,1.26E-12,0.957,6.35,15.9,28.1,58.6,89,4.884E-09
Po-206,1.30E-12,0.959,6.42,15.4,27.7,59.3,91,5.039E-09
At-206,2.67E-12,0.963,6.54,13.9,24.9,59.5,102,1.035E-08
At-207,2.06E-12,0.961,9.81,20.9,36.7,81.2,128,7.984E-09
At-209,2.46E-12,0.961,7.67,15.9,27,57.8,93.6,9.535E-09
At-210,2.95E-12,0.962,13.8,27.8,45.2,87.3,129,1.143E-08
Rn-211,1.96E-12,0.962,9.92,20.5,35,73.3,112,7.597E-09
Rn-221,6.96E-14,0.876,5.57,10.6,16.9,32.2,47.2,2.698E-10
Rn-223,3.79E-13,0.96,5.83,13.2,23.9,56.2,93.2,1.469E-09
Fr-222,2.92E-13,0.956,0.356,1.54,7.97,45.8,82.7,1.132E-09
Fr-223,1.53E-13,0.937,0.0172,0.158,1.13,20.2,45.4,5.930E-10
Ra-223,1.49E-13,0.958,0.69,1.92,4.22,12.2,23.8,5.775E-10
Ra-225,8.04E-14,0.924,0.0119,0.0347,0.0904,0.237,0.384,3.116E-10
Ra-227,3.43E-13,0.944,0.0394,1.81,5.82,21.4,41.1,1.329E-09
Ra-230,1.24E-13,0.952,0.362,2.19,6.73,18.9,31,4.806E-10
Ac-224,3.57E-13,0.955,0.168,0.631,1.42,3.71,6.09,1.384E-09
Ac-225,2.45E-14,0.952,0.0698,0.459,1.21,9.26,22.1,9.496E-11
Ac-226,2.04E-13,0.957,0.284,0.932,1.92,4.95,13.2,7.907E-10
Ac-228,1.03E-12,0.958,7.86,18.6,32.7,69.4,109,3.992E-09
Th-227,3.07E-13,0.947,0.0224,0.735,2.31,7.04,12.5,1.190E-09
Th-229,3.16E-13,0.945,0.0115,0.0463,0.429,1.92,3.97,1.225E-09
Th-231,2.69E-13,0.927,0.00822,0.0173,0.0326,0.523,1.53,1.043E-09
Pa-228,1.73E-12,0.955,5.73,16,30.4,68.9,111,6.705E-09
Pa-229,1.85E-13,0.948,0.0143,0.0662,0.321,1.03,1.34,7.171E-10
Pa-230,9.04E-13,0.954,5,14.3,26.6,56.9,86.2,3.504E-09
Pa-231,2.41E-13,0.931,0.00972,0.0247,0.761,6.21,11.8,9.341E-10
Pa-232,1.15E-12,0.957,7.05,16.4,28.5,58.3,87.4,4.457E-09
Pa-233,3.83E-13,0.953,0.304,1.86,4.31,10.6,17.6,1.484E-09
U-230,4.85E-14,0.924,0.00693,0.014,0.0242,0.462,2.39,1.880E-10
U-231,4.33E-13,0.939,0.0101,0.0241,0.126,0.869,1.82,1.678E-09
U-232,4.53E-14,0.921,0.00672,0.0134,0.0223,0.0487,0.398,1.756E-10
U-235,2.64E-13,0.957,0.208,0.692,1.35,3.13,5.36,1.023E-09
U-237,3.21E-13,0.946,0.0234,0.246,0.816,3.51,8.27,1.244E-09
U-239,9.12E-14,0.944,0.0439,0.36,1.82,28.2,54.7,3.535E-10
Np-232,1.50E-12,0.957,4.63,13.5,25.3,54.2,83.8,5.814E-09
Np-233,1.94E-13,0.951,0.023,0.197,0.554,6.25,20.2,7.519E-10
Np-234,1.24E-12,0.955,11.9,26.6,45.1,89.7,133,4.806E-09
Np-236,5.72E-13,0.944,0.0119,0.0389,0.356,1.42,3.06,2.217E-09
Np-237,2.32E-13,0.932,0.0091,0.0206,0.0552,0.983,2.31,8.992E-10
Np-238,7.12E-13,0.954,9.96,20.9,34.3,66.4,97.5,2.760E-09
Np-239,3.32E-13,0.952,0.0674,0.552,1.77,6.01,10.9,1.287E-09
Np-241,7.92E-14,0.951,0.0318,0.307,1.06,17.6,42.3,3.070E-10
Pu-232,1.38E-13,0.951,0.0213,0.151,0.415,1.12,1.63,5.349E-10
Pu-235,2.36E-13,0.948,0.0178,0.136,0.506,18.6,46,9.147E-10
Pu-236,4.04E-14,0.921,0.00694,0.0138,0.0229,0.0465,0.0788,1.566E-10
Pu-238,3.71E-14,0.921,0.00693,0.0138,0.0228,0.0459,0.0683,1.438E-10
Pu-243,5.66E-14,0.946,0.0181,0.23,0.804,6.26,14.4,2.194E-10
Pu-245,4.68E-13,0.96,4.05,10.7,21.4,49.9,78.9,1.814E-09
Pu-246,2.64E-13,0.947,0.0637,0.42,1.17,3.51,5.99,1.023E-09
Am-237,5.57E-13,0.955,0.508,2.52,7.01,28.5,55.6,2.159E-09
Am-238,1.09E-12,0.956,7.29,17.8,31.6,67.4,106,4.225E-09
Am-239,4.91E-13,0.951,0.0306,0.334,1.09,4.53,8.47,1.903E-09
Am-240,1.30E-12,0.954,7.89,18.6,31.6,62.7,92.9,5.039E-09
Am-241,1.45E-13,0.932,0.00974,0.0235,0.106,0.528,0.948,5.620E-10
Am-242,9.22E-14,0.937,0.01,0.0227,0.1,0.779,1.55,3.574E-10
Am-243,1.16E-13,0.944,0.0234,0.193,0.49,1.24,2.01,4.496E-10
Am-244,1.12E-12,0.95,5.24,13.8,24.3,49.9,75.4,4.341E-09
Am-246,1.17E-12,0.949,2.21,9.09,18.4,40.9,63.1,4.535E-09
Cm-241,7.61E-13,0.953,1.18,4.9,10.1,22.7,35.9,2.950E-09
Cm-243,2.64E-13,0.951,0.042,0.527,1.69,5.37,9.3,1.023E-09
Cm-245,2.39E-13,0.95,0.0219,0.182,0.507,1.55,2.79,9.264E-10
Cm-247,3.50E-13,0.964,2.95,5.85,9.58,18.8,27.9,1.357E-09
Bk-245,3.88E-13,0.953,0.0927,0.515,1.58,6.33,13.8,1.504E-09
Bk-246,1.10E-12,0.953,6.47,16.1,27.9,57.5,87.8,4.264E-09
Bk-247,1.88E-13,0.956,0.377,1.15,2.51,6.08,9.62,7.287E-10
Bk-248,1.88E-13,0.956,0.377,1.15,2.51,6.08,9.62,7.287E-10
Bk-250,1.04E-12,0.957,10.8,21.8,35.3,67.6,98.9,4.031E-09
Cf-247,5.74E-13,0.938,0.00948,0.0224,0.16,1.8,11,2.225E-09
Cf-249,4.15E-13,0.959,2.02,4.61,7.97,16.4,25.1,1.609E-09
Es-249,7.26E-13,0.951,0.474,4.01,11.6,40.3,71.1,2.814E-09
Es-250,2.54E-12,0.944,0.259,5.16,16.4,43.3,69,9.845E-09
